"Countries, territories and areas; Year,""Maternal mortality ratio (per 100 000 live births)"",""Number of maternal deaths"""
"Mauritania; 1989,""701 [454-999]"",""561 [363-799]"""
"Mauritania; 1988,""714 [450-1 033]"",""557 [351-806]"""
"Mauritania; 1987,""735 [452-1 070]"",""559 [344-813]"""
"Mauritania; 1986,""794 [478-1 170]"",""587 [354-866]"""
"Mauritania; 1985,""781 [460-1 169]"",""570 [336-854]"""
"Mauritius; 2020,""84 [62-115]"",""11 [8-15]"""
"Mauritius; 2019,""49 [37-65]"",""6 [5-8]"""
"Mauritius; 2018,""50 [39-65]"",""7 [5-8]"""
"Mauritius; 2017,""46 [36-58]"",""6 [5-8]"""
"Mauritius; 2016,""52 [41-65]"",""7 [5-8]"""
"Mauritius; 2015,""57 [45-71]"",""7 [6-9]"""
"Mauritius; 2014,""51 [41-63]"",""7 [6-9]"""
"Mauritius; 2013,""48 [39-59]"",""7 [5-8]"""
"Mauritius; 2012,""47 [38-58]"",""7 [6-9]"""
"Mauritius; 2011,""42 [35-52]"",""6 [5-8]"""
"Mauritius; 2010,""55 [45-67]"",""8 [7-10]"""
"Mauritius; 2009,""49 [40-61]"",""8 [6-10]"""
"Mauritius; 2008,""45 [36-55]"",""8 [6-9]"""
"Mauritius; 2007,""43 [35-53]"",""8 [6-9]"""
"Mauritius; 2006,""43 [35-53]"",""8 [6-10]"""
"Mauritius; 2005,""48 [38-59]"",""9 [7-11]"""
"Mauritius; 2004,""46 [36-57]"",""9 [7-11]"""
"Mauritius; 2003,""47 [37-59]"",""9 [7-12]"""
"Mauritius; 2002,""48 [38-61]"",""10 [8-12]"""
"Mauritius; 2001,""50 [39-62]"",""10 [8-12]"""
"Mauritius; 2000,""52 [41-65]"",""10 [8-13]"""
"Mauritius; 1999,""52 [42-65]"",""11 [9-14]"""
"Mauritius; 1998,""59 [48-74]"",""12 [10-15]"""
"Mauritius; 1997,""59 [48-73]"",""12 [10-15]"""
"Mauritius; 1996,""63 [51-77]"",""13 [11-16]"""
"Mauritius; 1995,""74 [61-90]"",""16 [13-19]"""
"Mauritius; 1994,""76 [62-92]"",""17 [14-20]"""
"Mauritius; 1993,""76 [63-91]"",""17 [14-21]"""
"Mauritius; 1992,""87 [72-105]"",""20 [17-24]"""
"Mauritius; 1991,""91 [76-109]"",""21 [17-25]"""
"Mauritius; 1990,""98 [81-117]"",""22 [19-27]"""
"Mauritius; 1989,""110 [91-132]"",""24 [20-29]"""
"Mauritius; 1988,""112 [92-137]"",""24 [19-29]"""
"Mauritius; 1987,""128 [102-159]"",""26 [20-32]"""
"Mauritius; 1986,""143 [112-183]"",""27 [21-35]"""
"Mauritius; 1985,""142 [109-187]"",""28 [22-37]"""
"Mexico; 2020,""59 [46-74]"",""1 159 [902-1 453]"""
"Mexico; 2019,""58 [51-65]"",""1 139 [994-1 268]"""
"Mexico; 2018,""56 [49-61]"",""1 134 [996-1 250]"""
"Mexico; 2017,""52 [46-58]"",""1 090 [962-1 200]"""
"Mexico; 2016,""49 [43-54]"",""1 038 [919-1 141]"""
"Mexico; 2015,""52 [46-57]"",""1 123 [998-1 237]"""
"Mexico; 2014,""50 [44-54]"",""1 102 [983-1 210]"""
"Mexico; 2013,""49 [44-53]"",""1 109 [993-1 210]"""
"Mexico; 2012,""49 [44-54]"",""1 119 [1 011-1 219]"""
"Mexico; 2011,""50 [46-55]"",""1 144 [1 042-1 243]"""
"Mexico; 2010,""51 [47-56]"",""1 162 [1 068-1 261]"""
"Mexico; 2009,""51 [47-56]"",""1 169 [1 080-1 267]"""
"Mexico; 2008,""57 [52-62]"",""1 295 [1 195-1 405]"""
"Mexico; 2007,""56 [52-61]"",""1 277 [1 182-1 392]"""
"Mexico; 2006,""54 [50-60]"",""1 250 [1 160-1 368]"""
"Mexico; 2005,""53 [50-59]"",""1 234 [1 146-1 354]"""
"Mexico; 2004,""53 [49-58]"",""1 224 [1 134-1 344]"""
"Mexico; 2003,""52 [48-57]"",""1 218 [1 128-1 340]"""
"Mexico; 2002,""57 [53-62]"",""1 337 [1 237-1 468]"""
"Mexico; 2001,""57 [53-62]"",""1 340 [1 241-1 468]"""
"Mexico; 2000,""57 [52-62]"",""1 339 [1 241-1 463]"""
"Mexico; 1999,""57 [52-62]"",""1 344 [1 245-1 466]"""
"Mexico; 1998,""57 [53-63]"",""1 359 [1 258-1 481]"""
"Mexico; 1997,""63 [58-68]"",""1 500 [1 389-1 630]"""
"Mexico; 1996,""63 [58-68]"",""1 515 [1 397-1 640]"""
"Mexico; 1995,""63 [58-69]"",""1 532 [1 410-1 661]"""
"Mexico; 1994,""64 [59-69]"",""1 553 [1 426-1 686]"""
"Mexico; 1993,""70 [64-76]"",""1 710 [1 565-1 855]"""
"Mexico; 1992,""71 [65-77]"",""1 732 [1 583-1 886]"""
"Mexico; 1991,""73 [67-80]"",""1 769 [1 622-1 936]"""
"Mexico; 1990,""81 [74-89]"",""1 947 [1 779-2 141]"""
"Mexico; 1989,""83 [76-93]"",""2 001 [1 823-2 223]"""
"Mexico; 1988,""86 [78-97]"",""2 047 [1 864-2 318]"""
"Mexico; 1987,""92 [84-107]"",""2 234 [2 022-2 574]"""
"Mexico; 1986,""94 [84-110]"",""2 296 [2 066-2 684]"""
"Mexico; 1985,""97 [87-116]"",""2 371 [2 124-2 823]"""
"Micronesia; 2020,""74 [32-169]"",""1 [1-3]"""
"Micronesia; 2019,""65 [28-146]"",""1 [1-3]"""
"Micronesia; 2018,""69 [30-153]"",""1 [1-3]"""
"Micronesia; 2017,""63 [28-137]"",""1 [1-3]"""
"Micronesia; 2016,""64 [29-138]"",""1 [1-3]"""
"Micronesia; 2015,""64 [29-137]"",""1 [1-3]"""
"Micronesia; 2014,""61 [28-130]"",""1 [1-3]"""
"Micronesia; 2013,""66 [31-140]"",""1 [1-3]"""
"Micronesia; 2012,""42 [20-88]"",""1 [1-3]"""
"Micronesia; 2011,""46 [22-94]"",""1 [1-3]"""
"Micronesia; 2010,""46 [22-94]"",""1 [1-3]"""
"Micronesia; 2009,""46 [22-93]"",""1 [1-3]"""
"Micronesia; 2008,""50 [25-101]"",""2 [1-3]"""
"Micronesia; 2007,""53 [26-105]"",""2 [1-3]"""
"Micronesia; 2006,""58 [29-115]"",""2 [1-3]"""
"Micronesia; 2005,""57 [29-111]"",""2 [1-3]"""
"Micronesia; 2004,""62 [32-121]"",""2 [1-4]"""
"Micronesia; 2003,""63 [33-121]"",""2 [1-4]"""
"Micronesia; 2002,""89 [48-171]"",""3 [1-5]"""
"Micronesia; 2001,""70 [37-131]"",""2 [1-4]"""
"Micronesia; 2000,""60 [32-112]"",""2 [1-4]"""
"Micronesia; 1999,""61 [34-112]"",""2 [1-4]"""
"Micronesia; 1998,""65 [36-118]"",""3 [1-5]"""
"Micronesia; 1997,""63 [36-113]"",""3 [1-5]"""
"Micronesia; 1996,""63 [36-112]"",""3 [1-4]"""
"Micronesia; 1995,""65 [38-114]"",""3 [2-5]"""
"Micronesia; 1994,""68 [40-117]"",""3 [2-5]"""
"Micronesia; 1993,""67 [40-114]"",""3 [2-5]"""
"Micronesia; 1992,""88 [52-148]"",""3 [2-4]"""
"Micronesia; 1991,""92 [56-154]"",""3 [2-5]"""
"Micronesia; 1990,""98 [60-165]"",""3 [2-5]"""
"Micronesia; 1989,""97 [59-163]"",""3 [2-5]"""
"Micronesia; 1988,""103 [62-177]"",""3 [2-5]"""
"Micronesia; 1987,""110 [66-188]"",""3 [2-6]"""
"Micronesia; 1986,""111 [66-191]"",""3 [2-6]"""
"Micronesia; 1985,""112 [66-196]"",""3 [2-6]"""
"Mongolia; 2020,""39 [28-55]"",""29 [20-41]"""
"Mongolia; 2019,""40 [29-54]"",""30 [22-41]"""
"Mongolia; 2018,""42 [31-56]"",""32 [24-42]"""
"Mongolia; 2017,""48 [37-61]"",""36 [28-46]"""
"Mongolia; 2016,""47 [37-58]"",""36 [29-45]"""
"Mongolia; 2015,""47 [38-57]"",""37 [30-44]"""
"Mongolia; 2014,""49 [41-58]"",""38 [31-44]"""
"Mongolia; 2013,""52 [44-60]"",""39 [33-45]"""
"Mongolia; 2012,""58 [49-67]"",""41 [35-47]"""
"Mongolia; 2011,""61 [53-71]"",""41 [35-47]"""
"Mongolia; 2010,""65 [57-75]"",""41 [36-47]"""
"Mongolia; 2009,""70 [61-80]"",""44 [38-50]"""
"Mongolia; 2008,""79 [69-90]"",""47 [41-54]"""
"Mongolia; 2007,""80 [70-91]"",""45 [39-51]"""
"Mongolia; 2006,""94 [83-107]"",""48 [42-54]"""
"Mongolia; 2005,""94 [82-106]"",""45 [40-51]"""
"Mongolia; 2004,""101 [89-115]"",""47 [42-54]"""
"Mongolia; 2003,""109 [96-123]"",""51 [45-58]"""
"Mongolia; 2002,""136 [120-155]"",""65 [57-74]"""
"Mongolia; 2001,""144 [127-165]"",""71 [62-81]"""
"Mongolia; 2000,""158 [138-180]"",""79 [69-90]"""
"Mongolia; 1999,""180 [158-205]"",""92 [80-104]"""
"Mongolia; 1998,""187 [164-214]"",""95 [84-109]"""
"Mongolia; 1997,""193 [170-221]"",""100 [88-115]"""
"Mongolia; 1996,""210 [185-240]"",""113 [100-129]"""
"Mongolia; 1995,""211 [185-243]"",""120 [105-139]"""
"Mongolia; 1994,""202 [175-234]"",""117 [102-136]"""
"Mongolia; 1993,""207 [176-241]"",""126 [108-147]"""
"Mongolia; 1992,""202 [169-240]"",""133 [112-158]"""
"Mongolia; 1991,""199 [163-241]"",""139 [114-169]"""
"Mongolia; 1990,""199 [158-249]"",""145 [116-181]"""
"Mongolia; 1989,""205 [157-261]"",""151 [116-193]"""
"Mongolia; 1988,""210 [156-277]"",""157 [117-208]"""
"Mongolia; 1987,""209 [150-285]"",""157 [113-214]"""
"Mongolia; 1986,""211 [147-296]"",""156 [109-219]"""
"Mongolia; 1985,""211 [144-306]"",""157 [106-227]"""
"Montenegro; 2020,""6 [3-11]"",""0 [0-1]"""
"Montenegro; 2019,""6 [3-10]"",""0 [0-1]"""
"Montenegro; 2018,""5 [3-9]"",""0 [0-1]"""
"Montenegro; 2017,""5 [3-9]"",""0 [0-1]"""
"Montenegro; 2016,""6 [3-10]"",""0 [0-1]"""
"Montenegro; 2015,""6 [3-10]"",""0 [0-1]"""
"Montenegro; 2014,""6 [3-10]"",""0 [0-1]"""
"Montenegro; 2013,""6 [3-11]"",""1 [0-1]"""
"Montenegro; 2012,""7 [4-12]"",""1 [0-1]"""
"Montenegro; 2011,""7 [4-11]"",""1 [0-1]"""
"Montenegro; 2010,""7 [4-11]"",""1 [0-1]"""
"Montenegro; 2009,""8 [5-13]"",""1 [0-1]"""
"Montenegro; 2008,""8 [5-13]"",""1 [0-1]"""
"Montenegro; 2007,""8 [5-13]"",""1 [0-1]"""
"Montenegro; 2006,""9 [5-15]"",""1 [0-1]"""
"Montenegro; 2005,""10 [6-15]"",""1 [0-1]"""
"Montenegro; 2004,""9 [6-14]"",""1 [0-1]"""
"Montenegro; 2003,""9 [6-14]"",""1 [1-1]"""
"Montenegro; 2002,""9 [6-14]"",""1 [1-1]"""
"Montenegro; 2001,""9 [6-14]"",""1 [1-1]"""
"Montenegro; 2000,""11 [7-16]"",""1 [1-2]"""
"Montenegro; 1999,""13 [8-19]"",""1 [1-2]"""
"Montenegro; 1998,""11 [7-17]"",""1 [1-2]"""
"Montenegro; 1997,""12 [8-17]"",""1 [1-2]"""
"Montenegro; 1996,""12 [8-19]"",""1 [1-2]"""
"Montenegro; 1995,""11 [7-17]"",""1 [1-2]"""
"Montenegro; 1994,""13 [9-20]"",""1 [1-2]"""
"Montenegro; 1993,""9 [6-14]"",""1 [1-1]"""
"Montenegro; 1992,""9 [6-13]"",""1 [1-1]"""
"Montenegro; 1991,""7 [5-11]"",""1 [0-1]"""
"Montenegro; 1990,""7 [5-11]"",""1 [0-1]"""
"Montenegro; 1989,""8 [5-12]"",""1 [1-1]"""
"Montenegro; 1988,""8 [5-12]"",""1 [0-1]"""
"Montenegro; 1987,""10 [7-16]"",""1 [1-2]"""
"Montenegro; 1986,""11 [7-18]"",""1 [1-2]"""
"Montenegro; 1985,""11 [7-18]"",""1 [1-2]"""
"Morocco; 2020,""72 [51-96]"",""472 [333-633]"""
"Morocco; 2019,""76 [55-101]"",""509 [364-671]"""
"Morocco; 2018,""78 [57-102]"",""528 [384-690]"""
"Morocco; 2017,""80 [59-103]"",""551 [408-709]"""
"Morocco; 2016,""85 [64-109]"",""583 [440-742]"""
"Morocco; 2015,""97 [74-122]"",""681 [525-857]"""
"Morocco; 2014,""102 [80-127]"",""719 [568-896]"""
"Morocco; 2013,""106 [85-130]"",""759 [608-932]"""
"Morocco; 2012,""113 [92-137]"",""805 [657-974]"""
"Morocco; 2011,""122 [101-145]"",""863 [717-1 031]"""
"Morocco; 2010,""134 [112-158]"",""932 [780-1 097]"""
"Morocco; 2009,""144 [121-170]"",""990 [829-1 165]"""
"Morocco; 2008,""156 [131-184]"",""1 049 [879-1 238]"""
"Morocco; 2007,""167 [140-199]"",""1 113 [929-1 322]"""
"Morocco; 2006,""179 [150-216]"",""1 183 [986-1 423]"""
"Morocco; 2005,""194 [161-234]"",""1 266 [1 050-1 523]"""
"Morocco; 2004,""209 [173-253]"",""1 355 [1 118-1 638]"""
"Morocco; 2003,""217 [178-262]"",""1 399 [1 150-1 692]"""
"Morocco; 2002,""227 [186-275]"",""1 464 [1 198-1 775]"""
"Morocco; 2001,""237 [193-288]"",""1 523 [1 246-1 856]"""
"Morocco; 2000,""244 [200-298]"",""1 587 [1 300-1 939]"""
"Morocco; 1999,""279 [229-340]"",""1 824 [1 497-2 222]"""
"Morocco; 1998,""284 [232-346]"",""1 900 [1 552-2 318]"""
"Morocco; 1997,""292 [240-357]"",""1 977 [1 621-2 411]"""
"Morocco; 1996,""326 [268-398]"",""2 211 [1 822-2 702]"""
"Morocco; 1995,""337 [278-411]"",""2 304 [1 902-2 814]"""
"Morocco; 1994,""344 [285-421]"",""2 387 [1 976-2 919]"""
"Morocco; 1993,""384 [318-470]"",""2 701 [2 239-3 312]"""
"Morocco; 1992,""391 [324-481]"",""2 823 [2 336-3 474]"""
"Morocco; 1991,""434 [359-536]"",""3 164 [2 615-3 906]"""
"Morocco; 1990,""461 [380-572]"",""3 318 [2 735-4 120]"""
"Morocco; 1989,""485 [399-604]"",""3 501 [2 881-4 360]"""
"Morocco; 1988,""536 [439-678]"",""3 958 [3 238-5 000]"""
"Morocco; 1987,""590 [478-764]"",""4 465 [3 615-5 782]"""
"Morocco; 1986,""610 [489-811]"",""4 712 [3 783-6 266]"""
"Morocco; 1985,""674 [537-916]"",""5 255 [4 189-7 141]"""
"Mozambique; 2020,""127 [99-157]"",""1 466 [1 142-1 816]"""
"Mozambique; 2019,""150 [119-185]"",""1 697 [1 343-2 094]"""
"Mozambique; 2018,""160 [128-197]"",""1 780 [1 419-2 193]"""
"Mozambique; 2017,""177 [142-217]"",""1 931 [1 548-2 368]"""
"Mozambique; 2016,""194 [156-239]"",""2 062 [1 663-2 543]"""
"Mozambique; 2015,""226 [183-280]"",""2 351 [1 902-2 916]"""
"Mozambique; 2014,""241 [196-299]"",""2 461 [2 003-3 053]"""
"Mozambique; 2013,""241 [197-297]"",""2 467 [2 013-3 039]"""
"Mozambique; 2012,""271 [222-334]"",""2 729 [2 230-3 359]"""
"Mozambique; 2011,""296 [243-365]"",""2 931 [2 408-3 607]"""
"Mozambique; 2010,""322 [264-396]"",""3 119 [2 563-3 846]"""
"Mozambique; 2009,""355 [291-436]"",""3 345 [2 742-4 110]"""
"Mozambique; 2008,""374 [309-462]"",""3 409 [2 813-4 210]"""
"Mozambique; 2007,""379 [314-467]"",""3 319 [2 750-4 095]"""
"Mozambique; 2006,""390 [323-479]"",""3 350 [2 781-4 117]"""
"Mozambique; 2005,""404 [335-493]"",""3 421 [2 834-4 177]"""
"Mozambique; 2004,""420 [346-511]"",""3 502 [2 888-4 261]"""
"Mozambique; 2003,""442 [362-537]"",""3 639 [2 986-4 424]"""
"Mozambique; 2002,""461 [377-564]"",""3 714 [3 035-4 544]"""
"Mozambique; 2001,""501 [406-612]"",""3 966 [3 214-4 847]"""
"Mozambique; 2000,""532 [431-653]"",""4 145 [3 360-5 089]"""
"Mozambique; 1999,""583 [469-715]"",""4 453 [3 582-5 466]"""
"Mozambique; 1998,""639 [510-786]"",""4 786 [3 821-5 888]"""
"Mozambique; 1997,""714 [566-879]"",""5 252 [4 165-6 471]"""
"Mozambique; 1996,""750 [593-928]"",""5 332 [4 217-6 597]"""
"Mozambique; 1995,""829 [651-1 032]"",""5 742 [4 510-7 153]"""
"Mozambique; 1994,""865 [680-1 082]"",""5 702 [4 479-7 132]"""
"Mozambique; 1993,""870 [677-1 097]"",""5 569 [4 331-7 018]"""
"Mozambique; 1992,""891 [691-1 130]"",""5 634 [4 366-7 140]"""
"Mozambique; 1991,""909 [702-1 156]"",""5 693 [4 394-7 236]"""
"Mozambique; 1990,""927 [707-1 190]"",""5 741 [4 378-7 365]"""
"Mozambique; 1989,""998 [752-1 301]"",""6 145 [4 635-8 011]"""
"Mozambique; 1988,""1 032 [770-1 363]"",""6 334 [4 729-8 367]"""
"Mozambique; 1987,""1 104 [817-1 481]"",""6 858 [5 073-9 199]"""
"Mozambique; 1986,""1 140 [829-1 553]"",""6 979 [5 076-9 504]"""
"Mozambique; 1985,""1 240 [894-1 707]"",""7 466 [5 381-10 275]"""
"Myanmar; 2020,""179 [125-292]"",""1 658 [1 157-2 710]"""
"Myanmar; 2019,""213 [150-337]"",""1 998 [1 409-3 165]"""
"Myanmar; 2018,""215 [153-326]"",""2 021 [1 440-3 073]"""
"Myanmar; 2017,""238 [172-350]"",""2 257 [1 628-3 317]"""
"Myanmar; 2016,""242 [178-344]"",""2 302 [1 695-3 278]"""
"Myanmar; 2015,""243 [182-335]"",""2 302 [1 725-3 176]"""
"Myanmar; 2014,""262 [200-355]"",""2 469 [1 885-3 336]"""
"Myanmar; 2013,""268 [206-356]"",""2 519 [1 941-3 352]"""
"Myanmar; 2012,""285 [221-372]"",""2 683 [2 085-3 511]"""
"Myanmar; 2011,""279 [218-359]"",""2 652 [2 080-3 422]"""
"Myanmar; 2010,""293 [232-378]"",""2 810 [2 223-3 629]"""
"Myanmar; 2009,""280 [222-360]"",""2 728 [2 160-3 502]"""
"Myanmar; 2008,""290 [205-413]"",""2 849 [2 015-4 064]"""
"Myanmar; 2007,""318 [251-407]"",""3 180 [2 513-4 066]"""
"Myanmar; 2006,""332 [261-421]"",""3 331 [2 622-4 225]"""
"Myanmar; 2005,""321 [252-406]"",""3 263 [2 558-4 123]"""
"Myanmar; 2004,""326 [255-410]"",""3 365 [2 638-4 235]"""
"Myanmar; 2003,""316 [247-398]"",""3 329 [2 602-4 197]"""
"Myanmar; 2002,""319 [248-407]"",""3 422 [2 653-4 355]"""
"Myanmar; 2001,""323 [250-415]"",""3 422 [2 646-4 397]"""
"Myanmar; 2000,""371 [285-477]"",""3 885 [2 976-4 993]"""
"Myanmar; 1999,""369 [278-474]"",""3 856 [2 905-4 962]"""
"Myanmar; 1998,""360 [268-467]"",""3 784 [2 821-4 913]"""
"Myanmar; 1997,""384 [281-500]"",""4 064 [2 977-5 296]"""
"Myanmar; 1996,""390 [281-512]"",""4 164 [2 997-5 465]"""
"Myanmar; 1995,""454 [323-603]"",""4 862 [3 466-6 468]"""
"Myanmar; 1994,""457 [325-615]"",""4 946 [3 513-6 653]"""
"Myanmar; 1993,""467 [329-634]"",""5 101 [3 591-6 926]"""
"Myanmar; 1992,""490 [339-664]"",""5 373 [3 711-7 283]"""
"Myanmar; 1991,""527 [359-720]"",""5 808 [3 954-7 925]"""
"Myanmar; 1990,""544 [370-748]"",""5 996 [4 076-8 247]"""
"Myanmar; 1989,""532 [357-741]"",""5 865 [3 929-8 163]"""
"Myanmar; 1988,""547 [358-768]"",""5 983 [3 914-8 405]"""
"Myanmar; 1987,""560 [361-799]"",""6 227 [4 018-8 881]"""
"Myanmar; 1986,""572 [362-826]"",""6 486 [4 098-9 360]"""
"Myanmar; 1985,""572 [355-837]"",""6 601 [4 090-9 646]"""
"Namibia; 2020,""215 [154-335]"",""148 [106-231]"""
"Namibia; 2019,""223 [161-340]"",""156 [113-238]"""
"Namibia; 2018,""218 [159-324]"",""153 [111-227]"""
"Namibia; 2017,""228 [168-333]"",""160 [117-233]"""
"Namibia; 2016,""246 [183-353]"",""172 [128-247]"""
"Namibia; 2015,""299 [223-422]"",""209 [156-295]"""
"Namibia; 2014,""306 [232-420]"",""211 [160-290]"""
"Namibia; 2013,""334 [257-449]"",""227 [175-305]"""
"Namibia; 2012,""362 [281-478]"",""243 [188-320]"""
"Namibia; 2011,""414 [322-540]"",""273 [212-356]"""
"Namibia; 2010,""482 [377-622]"",""308 [241-398]"""
"Namibia; 2009,""459 [365-589]"",""285 [226-365]"""
"Namibia; 2008,""433 [346-551]"",""264 [211-336]"""
"Namibia; 2007,""427 [343-534]"",""252 [202-315]"""
"Namibia; 2006,""420 [340-524]"",""244 [197-304]"""
"Namibia; 2005,""419 [341-518]"",""239 [194-295]"""
"Namibia; 2004,""402 [329-494]"",""225 [184-277]"""
"Namibia; 2003,""451 [370-555]"",""253 [207-311]"""
"Namibia; 2002,""447 [366-550]"",""250 [205-308]"""
"Namibia; 2001,""450 [369-556]"",""252 [207-311]"""
"Namibia; 2000,""450 [369-556]"",""257 [210-317]"""
"Namibia; 1999,""415 [339-515]"",""237 [193-294]"""
"Namibia; 1998,""401 [326-499]"",""225 [183-279]"""
"Namibia; 1997,""376 [304-468]"",""207 [167-257]"""
"Namibia; 1996,""363 [291-452]"",""196 [157-244]"""
"Namibia; 1995,""336 [267-419]"",""185 [147-230]"""
"Namibia; 1994,""323 [256-403]"",""184 [146-230]"""
"Namibia; 1993,""305 [240-383]"",""174 [137-218]"""
"Namibia; 1992,""301 [236-380]"",""172 [135-217]"""
"Namibia; 1991,""279 [218-354]"",""159 [124-202]"""
"Namibia; 1990,""266 [208-338]"",""146 [114-186]"""
"Namibia; 1989,""271 [208-345]"",""133 [102-169]"""
"Namibia; 1988,""305 [232-391]"",""143 [109-184]"""
"Namibia; 1987,""304 [228-394]"",""137 [102-177]"""
"Namibia; 1986,""321 [236-418]"",""138 [102-180]"""
"Namibia; 1985,""328 [236-432]"",""138 [99-181]"""
"Nepal; 2020,""174 [125-276]"",""1 052 [755-1 662]"""
"Nepal; 2019,""182 [132-281]"",""1 098 [797-1 690]"""
"Nepal; 2018,""201 [148-303]"",""1 207 [887-1 817]"""
"Nepal; 2017,""223 [165-327]"",""1 346 [996-1 971]"""
"Nepal; 2016,""224 [168-321]"",""1 359 [1 019-1 946]"""
"Nepal; 2015,""252 [171-391]"",""1 539 [1 047-2 386]"""
"Nepal; 2014,""253 [193-347]"",""1 555 [1 182-2 132]"""
"Nepal; 2013,""261 [200-350]"",""1 599 [1 228-2 144]"""
"Nepal; 2012,""288 [223-381]"",""1 769 [1 369-2 343]"""
"Nepal; 2011,""295 [230-386]"",""1 811 [1 413-2 368]"""
"Nepal; 2010,""349 [274-450]"",""2 155 [1 692-2 778]"""
"Nepal; 2009,""338 [268-434]"",""2 115 [1 675-2 711]"""
"Nepal; 2008,""344 [272-436]"",""2 188 [1 736-2 778]"""
"Nepal; 2007,""355 [282-447]"",""2 305 [1 831-2 903]"""
"Nepal; 2006,""358 [285-450]"",""2 383 [1 900-3 000]"""
"Nepal; 2005,""380 [303-479]"",""2 613 [2 082-3 291]"""
"Nepal; 2004,""392 [312-495]"",""2 769 [2 207-3 501]"""
"Nepal; 2003,""438 [349-553]"",""3 147 [2 507-3 979]"""
"Nepal; 2002,""466 [369-588]"",""3 372 [2 671-4 256]"""
"Nepal; 2001,""484 [381-609]"",""3 578 [2 812-4 502]"""
"Nepal; 2000,""504 [394-633]"",""3 800 [2 972-4 775]"""
"Nepal; 1999,""538 [419-680]"",""4 093 [3 181-5 170]"""
"Nepal; 1998,""543 [420-686]"",""4 171 [3 229-5 266]"""
"Nepal; 1997,""583 [453-736]"",""4 509 [3 499-5 687]"""
"Nepal; 1996,""628 [489-794]"",""4 943 [3 850-6 246]"""
"Nepal; 1995,""681 [533-859]"",""5 426 [4 250-6 847]"""
"Nepal; 1994,""703 [550-888]"",""5 593 [4 374-7 059]"""
"Nepal; 1993,""736 [577-935]"",""5 825 [4 565-7 392]"""
"Nepal; 1992,""813 [633-1 029]"",""6 243 [4 864-7 902]"""
"Nepal; 1991,""856 [663-1 087]"",""6 478 [5 021-8 228]"""
"Nepal; 1990,""961 [730-1 218]"",""7 190 [5 457-9 114]"""
"Nepal; 1989,""995 [738-1 282]"",""7 315 [5 427-9 425]"""
"Nepal; 1988,""1 064 [775-1 392]"",""7 723 [5 626-10 109]"""
"Nepal; 1987,""1 088 [770-1 437]"",""7 802 [5 518-10 302]"""
"Nepal; 1986,""1 145 [800-1 546]"",""8 085 [5 646-10 917]"""
"Nepal; 1985,""1 171 [801-1 617]"",""8 142 [5 569-11 239]"""
"Netherlands; 2020,""4 [3-6]"",""7 [5-10]"""
"Netherlands; 2019,""4 [3-5]"",""7 [5-9]"""
"Netherlands; 2018,""4 [3-5]"",""7 [5-9]"""
"Netherlands; 2017,""5 [4-6]"",""9 [7-10]"""
"Netherlands; 2016,""5 [4-6]"",""9 [7-11]"""
"Netherlands; 2015,""5 [4-6]"",""9 [7-11]"""
"Netherlands; 2014,""5 [5-6]"",""9 [8-11]"""
"Netherlands; 2013,""6 [5-7]"",""10 [8-11]"""
"Netherlands; 2012,""6 [5-7]"",""11 [9-12]"""
"Netherlands; 2011,""6 [6-7]"",""12 [10-13]"""
"Netherlands; 2010,""6 [6-7]"",""12 [10-13]"""
"Netherlands; 2009,""7 [6-8]"",""13 [12-14]"""
"Netherlands; 2008,""8 [7-9]"",""14 [13-16]"""
"Netherlands; 2007,""8 [8-9]"",""15 [14-17]"""
"Netherlands; 2006,""9 [8-10]"",""17 [15-19]"""
"Netherlands; 2005,""10 [9-12]"",""19 [18-22]"""
"Netherlands; 2004,""11 [10-12]"",""21 [19-24]"""
"Netherlands; 2003,""12 [11-13]"",""23 [21-26]"""
"Netherlands; 2002,""13 [11-14]"",""25 [23-28]"""
"Netherlands; 2001,""13 [11-14]"",""25 [23-28]"""
"Netherlands; 2000,""13 [12-15]"",""27 [24-30]"""
"Netherlands; 1999,""13 [12-15]"",""27 [24-29]"""
"Netherlands; 1998,""12 [11-14]"",""25 [22-27]"""
"Netherlands; 1997,""13 [12-14]"",""25 [23-28]"""
"Netherlands; 1996,""13 [12-14]"",""24 [22-27]"""
"Netherlands; 1995,""12 [11-14]"",""24 [21-26]"""
"Netherlands; 1994,""12 [10-13]"",""23 [20-26]"""
"Netherlands; 1993,""12 [10-13]"",""23 [20-25]"""
"Netherlands; 1992,""11 [10-13]"",""22 [19-25]"""
"Netherlands; 1991,""11 [10-13]"",""22 [19-25]"""
"Netherlands; 1990,""11 [9-12]"",""21 [18-24]"""
"Netherlands; 1989,""12 [10-13]"",""22 [19-25]"""
"Netherlands; 1988,""11 [10-13]"",""21 [18-25]"""
"Netherlands; 1987,""12 [10-14]"",""21 [18-25]"""
"Netherlands; 1986,""12 [10-14]"",""22 [18-26]"""
"Netherlands; 1985,""11 [9-14]"",""20 [16-25]"""
"New_Zealand; 2020,""7 [5-9]"",""4 [3-6]"""
"New_Zealand; 2019,""7 [5-9]"",""5 [3-6]"""
"New_Zealand; 2018,""8 [6-10]"",""4 [3-6]"""
"New_Zealand; 2017,""7 [6-9]"",""5 [3-5]"""
"New_Zealand; 2016,""8 [6-9]"",""5 [4-5]"""
"New_Zealand; 2015,""9 [7-10]"",""5 [4-6]"""
